Parameter,Total Annual,Elec Annual,Gas Annual,Elec Jan,Elec Feb,Elec Mar,Elec Apr,Elec May,Elec Jun,Elec Jul,Elec Aug,Elec Sep,Elec Oct,Elec Nov,Elec Dec,WinSum,Gas Jan,Gas Feb,Gas Mar,Gas Apr,Gas May,Gas Jun,Gas Jul,Gas Aug,Gas Sep,Gas Oct,Gas Nov,Gas Dec
equipment_density_deli,0.042719353,0.059540158,0.020474653,0.05922351,0.059108652,0.060057582,0.059855601,0.060236134,0.061793657,0.060360698,0.060100194,0.059010594,0.058213628,0.057681815,0.058516824,-0.002720558,0.025062972,0.025264059,0.021434982,0.018093835,0.014105014,0.014246504,0.015730337,0.017503647,0.013845756,0.015041944,0.020435271,0.024195777
equipment_density_bakery,0.042967891,0.058060928,0.013827338,0.059561924,0.059632733,0.060877402,0.059528891,0.058642313,0.057822881,0.055234941,0.054853087,0.055822855,0.058252785,0.058633444,0.059115113,0.008589009,0.018474776,0.0181279,0.013815824,0.011144812,0.008860066,0.010089099,0.010581093,0.011297071,0.009602907,0.008866923,0.012900905,0.016634245
occupant_density_office,0.06480501,0.053071108,0.105139093,0.04653698,0.046966167,0.047666464,0.051820676,0.054804258,0.060937634,0.063155871,0.062977129,0.056523508,0.048381114,0.045843177,0.046136058,-0.033459962,0.108255194,0.098530719,0.099934346,0.10366836,0.110048609,0.120928106,0.142220903,0.172395923,0.135324156,0.097650467,0.089917629,0.08878588
lighting_density_bulkstorage,0.025557803,0.044924773,0.048685092,0.046397012,0.046055969,0.045911319,0.045559831,0.044911687,0.044685295,0.044114924,0.043244651,0.043378512,0.044568397,0.044955045,0.045969328,0.005006765,0.05819011,0.059358545,0.053178517,0.047167159,0.037178438,0.023060797,0.017574387,0.018685702,0.023602646,0.04234104,0.053558628,0.061208299
fan_rise,0.019844106,0.037500619,0.046986762,0.038220771,0.038051133,0.037836805,0.037760643,0.037482076,0.037810548,0.037678847,0.036887466,0.036508954,0.036916136,0.037080133,0.037986155,0.001640613,0.049003042,0.048184692,0.04637835,0.047625738,0.049048051,0.044282365,0.036096718,0.031712915,0.04967825,0.050577201,0.047423738,0.046419204
fan_rise_sales,0.004410124,0.037243837,0.147545758,0.03966306,0.039549118,0.038664222,0.037845649,0.036732597,0.035767429,0.035283816,0.034857665,0.035087088,0.036852442,0.038150448,0.039778812,0.009300391,0.104609283,0.10742098,0.1283157,0.153559278,0.190743802,0.243407475,0.264741095,0.285714286,0.236670853,0.169111763,0.120638474,0.100057219
heating_setpoint,0.166364814,0.034805188,0.531506473,0.038931046,0.037367838,0.038610481,0.037675397,0.036365285,0.035382968,0.030895055,0.02722096,0.030140895,0.035905327,0.034763557,0.03666596,0.017480991,0.444612642,0.426188264,0.498894982,0.56828853,0.647084394,0.718523348,0.736406378,0.743699422,0.72772676,0.603472475,0.456812652,0.380964883
control_option,0.026914925,0.033990815,0,0.026518325,0.03016874,0.034245665,0.039064292,0.041445119,0.043122876,0.040167645,0.035970052,0.032801105,0.03050085,0.026924197,0.024115289,-0.025504083,0,0,0,0,0,0,0,0,0,0,0,0
equipment_density_bulkstorage,0.018990823,0.033317969,0.035418407,0.033926315,0.033784361,0.034095467,0.033622539,0.033466425,0.033773355,0.032956957,0.032878106,0.032362575,0.032753815,0.032931867,0.033539702,0.001630954,0.044088346,0.044512811,0.037976032,0.032495055,0.025580121,0.014988167,0.010285914,0.011148507,0.015096304,0.029416037,0.039498046,0.046562575
fan_eff,0.014526745,0.027768108,0.035016418,0.028315215,0.028173868,0.028022603,0.027967391,0.027732493,0.028006378,0.027902436,0.027330098,0.027011009,0.027330595,0.027455431,0.028141056,0.001223737,0.035585833,0.035165995,0.034169412,0.035520855,0.037759826,0.035067136,0.029381265,0.025683859,0.039422829,0.038217021,0.034863422,0.033597389
fan_eff_sales,0.002643068,0.024475121,0.101681354,0.026021649,0.025936848,0.02538942,0.024828366,0.024134582,0.023522936,0.023220319,0.023045295,0.023076508,0.024186683,0.025016626,0.026095242,0.005851277,0.071530879,0.073474649,0.088518889,0.106827811,0.133725595,0.171989861,0.188272636,0.200802407,0.168132697,0.11845573,0.082997706,0.068336769
cool_sizing_factor,0.012128188,0.02373218,0.029606887,0.023978223,0.023769772,0.023876018,0.023826571,0.023738374,0.024093908,0.024155518,0.023754854,0.023206867,0.02335012,0.023260453,0.023718788,-0.000213361,0.029049954,0.028797662,0.029012732,0.02908262,0.032372821,0.031309904,0.029002714,0.026072675,0.035525321,0.032004532,0.029436968,0.02762885
air_leakage,0.082727813,0.018181619,0.277204385,0.009254316,0.013409879,0.013600295,0.015761924,0.018631256,0.020883549,0.020528969,0.023250017,0.025192543,0.022025697,0.019317223,0.013579619,-0.020945051,0.347954354,0.334029539,0.296843548,0.271007914,0.23437863,0.157468295,0.090673575,0.036202735,0.153232335,0.229561886,0.286082581,0.323807444
