File Name,Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szdx/HZ1_CZ3/instance-out.sql,420.6,152.33,24.33,74.63,87.76,59.59,0.0,0.0,11.62,0.0,0.000
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szdx/HZ2_CZ1/instance-out.sql,433.62,178.91,13.4,74.63,87.76,56.71,0.0,0.0,11.84,0.0,0.000
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szdx/HZ2_CZ2/instance-out.sql,462.85,191.08,20.83,74.63,87.76,66.31,0.0,0.0,11.88,0.0,0.000
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szdx/HZ3_CZ1/instance-out.sql,523.1400000000001,252.14,14.52,74.63,87.76,71.66,0.0,0.0,12.08,0.0,0.000
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szhp/HZ1_CZ1/instance-out.sql,259.38,34.0,5.13,74.63,87.76,35.89,0.0,0.0,11.61,0.0,0.000
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szhp/HZ1_CZ2/instance-out.sql,260.46,30.16,11.0,74.63,87.76,35.0,0.0,0.0,11.51,0.0,0.000
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szhp/HZ1_CZ3/instance-out.sql,296.62,47.77,18.85,74.63,87.76,45.64,0.0,0.0,11.62,0.0,0.000
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szhp/HZ2_CZ1/instance-out.sql,295.16999999999996,56.23,10.06,74.63,87.76,44.28,0.0,0.0,11.84,0.0,0.000
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szhp/HZ2_CZ2/instance-out.sql,317.01,66.99,15.5,74.63,87.76,49.88,0.0,0.0,11.88,0.0,0.000
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szhp/HZ3_CZ1/instance-out.sql,343.19,91.37,10.7,74.63,87.76,56.3,0.0,0.0,12.08,0.0,0.000
