Parameter,Elec Jan,Elec Feb,Elec Mar,Elec Apr,Elec May,Elec Jun,Elec Jul,Elec Aug,Elec Sep,Elec Oct,Elec Nov,Elec Dec,WinterVsSummerE,Gas Jan,Gas Feb,Gas Mar,Gas Apr,Gas May,Gas Jun,Gas Jul,Gas Aug,Gas Sep,Gas Oct,Gas Nov,Gas Dec,WinterVsSumerG
oa_area_cafeteria,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.160000,0.160000,0.190000,0.190000,0.170000,0.130000,0.110000,0.110000,0.150000,0.190000,0.190000,0.170000,0.110000
oa_area_mechanical,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,0.150000,0.180000,0.170000,0.150000,0.120000,0.100000,0.100000,0.130000,0.170000,0.170000,0.160000,0.100000
oa_person_gym,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060000,0.060000,0.060000,0.050000,0.040000,0.030000,0.030000,0.020000,0.040000,0.050000,0.060000,0.060000,0.070000
oa_area_corridor,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.560000,0.580000,0.630000,0.630000,0.620000,0.580000,0.550000,0.520000,0.600000,0.650000,0.630000,0.580000,0.070000
oa_area_lobby,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.050000,0.060000,0.060000,0.040000,0.030000,0.020000,0.020000,0.030000,0.050000,0.060000,0.060000,0.070000
oa_person_auxgym,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.040000,0.030000,0.030000,0.020000,0.010000,0.010000,0.010000,0.010000,0.020000,0.030000,0.040000,0.060000
equipment_density_gym,0.150000,0.150000,0.150000,0.140000,0.140000,0.140000,0.110000,0.100000,0.140000,0.140000,0.150000,0.160000,0.100000,0.070000,0.060000,0.040000,0.030000,0.020000,0.020000,0.030000,0.030000,0.020000,0.030000,0.040000,0.050000,0.060000
equipment_density_auditorium,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.010000,0.010000,0.020000,0.030000,0.020000,0.020000,0.020000,0.040000,0.040000,0.030000,0.030000,0.020000,0.010000,0.000000,0.010000,0.010000,0.020000,0.030000,0.040000,0.060000
oa_area_bath,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.110000,0.120000,0.140000,0.140000,0.120000,0.110000,0.090000,0.090000,0.120000,0.140000,0.140000,0.120000,0.050000
equipment_density_library,0.040000,0.050000,0.040000,0.040000,0.040000,0.040000,0.030000,0.030000,0.040000,0.040000,0.040000,0.050000,0.030000,0.030000,0.030000,0.020000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.020000,0.030000,0.040000
dhw_temp_gym,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.040000,0.060000,0.070000,0.090000,0.120000,0.020000,0.020000,0.110000,0.080000,0.050000,0.040000,0.020000
lighting_density_gym,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.030000,0.020000,0.020000,0.010000,0.000000,0.010000,0.010000,0.000000,0.020000,0.020000,0.030000,0.020000
