key,dependencies,units,values,,,,,,,,,,
foundation_type,,,None,Full Slab,Interior Horizontal,Interior Vertical,Exterior Horizontal,Exterior Vertical,,,,,
vav_terminal_type,,,STANDARD,PARALLELFPB,SERIESFPB,,,,,,,,
mz_terminal_type,,,CAV,VAV,,,,,,,,,
vav_terminal_fan_eff,,,0.01,1,,,,,,,,,
vav_terminal_fan_rise,,in H2O,0,5,,,,,,,,,
vav_terminal_motor_eff,,,0.01,1,,,,,,,,,
vav_terminal_min_flow_frac,,,0.01,1,,,,,,,,,
vavreheat_heating_coil_type,,,NONE,GAS,ELECTRIC,HOTWATER,,,,,,,
supply_fan_type_rtu,,,CONSTANT,VARIABLE,,,,,,,,,
fan_min_flow_supply_vav,,,0,1,,,,,,,,,
fan_eff,,,0,1,,,,,,,,,
fan_eff_kitchen,,,0,1,,,,,,,,,
fan_eff_gym,,,0,1,,,,,,,,,
fan_rise,,in H2O,0,5,,,,,,,,,
fan_rise_kitchen,,in H2O,0,5,,,,,,,,,
fan_rise_gym,,in H2O,0,5,,,,,,,,,
fan_motor_eff,,,0,1,,,,,,,,,
fan_motor_eff_kitchen,,,0,1,,,,,,,,,
fan_motor_eff_gym,,,0,1,,,,,,,,,
return_fan,,,FALSE,TRUE,,,,,,,,,
heating_coil_type,,,NONE,GAS,ELECTRIC,HOTWATER,,,,,,,
heating_coil_eff,,,0,1,,,,,,,,,
heating_coil_cop,,,0,6,,,,,,,,,
heating_coil_eff_kitchen,,,0,1,,,,,,,,,
cooling_coil_type,,,NONE,DX,CHILLEDWATER,,,,,,,,
cooling_coil_cop,,,0,6,,,,,,,,,
cooling_coil_cop_kitchen,,,0,6,,,,,,,,,
cooling_coil_cop_gym,,,0,6,,,,,,,,,
loss_factor,,,0,1,,,,,,,,,
economizer_type,,,NoEconomizer,DifferentialDryBulb,,,,,,,,,
economizer_type_kitchen,,,NoEconomizer,DifferentialDryBulb,,,,,,,,,
economizer_high_limit,,F,50,100,,,,,,,,,
economizer_lockout,,,NoLockout, LockoutWithCompressor, LockoutWithHeating,,,,,,,,
economizer_max_oa_frac,,,0,1,,,,,,,,,
economizer_high_limit_kitchen,,F,50,100,,,,,,,,,
economizer_lockout_kitchen,,,NoLockout, LockoutWithCompressor, LockoutWithHeating,,,,,,,,
economizer_max_oa_frac_kitchen,,,0,1,,,,,,,,,
exhaust_fan,,,FALSE,TRUE,,,,,,,,,
exhaust_fan_eff,,,0,1,,,,,,,,,
exhaust_fan_eff_bath,,,0,1,,,,,,,,,
exhaust_fan_rise,,in H2O,0,5,,,,,,,,,
exhaust_fan_rise_bath,,in H2O,0,5,,,,,,,,,
exhaust_fan_flow_bath,,CFM,1000,3000,,,,,,,,,
exhaust_fan_flow_cafeteria,,CFM,200,3000,,,,,,,,,
exhaust_fan_flow_kitchen,,CFM,200,3000,,,,,,,,,
vav_oa_economizer,,,FALSE,TRUE,,,,,,,,,
vav_return_fan,,,FALSE,TRUE,,,,,,,,,
vav_sat_reset_control,,,NONE,SCHEDULE,OUTDOORTEMP,WARMEST,,,,,,,
vav_cooling_coil_type,,,NONE,DX,CHILLEDWATER,,,,,,,,
vav_heating_coil_type,,,NONE,GAS,ELECTRIC,HOTWATER,,,,,,,
vav_fan_eff_supply,,,0,1,,,,,,,,,
vav_fan_rise_supply,,in H2O,0,5,,,,,,,,,
vav_fan_rise_supply_other,,in H2O,0,5,,,,,,,,,
vav_fan_motor_eff_supply,,,0,1,,,,,,,,,
vav_cooling_coil_cop,,,1,6,,,,,,,,,
vav_heating_coil_eff,,,0,1,,,,,,,,,
supply_hw_setpoint_type,,,Constant,Reset,,,,,,,,,
pump_type_hw,,,CONSTANT,VARIABLE,,,,,,,,,
pump_eff_hw,,,0,1,,,,,,,,,
pump_head_hw,,ft H2O,10,100,,,,,,,,,
pump_control_hw,,,INTERMITTENT,CONTINUOUS,,,,,,,,,
heating_source,,,BOILER,CHP,,,,,,,,,
boiler_type,,,NONCONDENSING,CONDENSING,ELECTRIC,,,,,,,,
boiler_eff,,,0,0.98,,,,,,,,,
pump_type_cw,,,CONSTANT,VARIABLE,,,,,,,,,
pump_eff_cw,,,0,1,,,,,,,,,
pump_head_cw,,ft H2O,10,100,,,,,,,,,
pump_control_cw,,,INTERMITTENT,CONTINUOUS,,,,,,,,,
cooling_source,,,CHILLER,GSHP,,,,,,,,,
chiller_type,,,ELECTRIC,ABSORPTION,,,,,,,,,
chiller_model,,,NREL,TRANE_RTAA_125,TRANE_CGA_120,Air-Cooled GTE 150tons Default 90.1-2004,WC Screw Default 90.1-2004,WC Centrifugal Default 90.1-2004,,,,,
chiller_cop,,,1,10,,,,,,,,,
chiller_condenser,,,AIRCOOLED,WATERCOOLED,EVAPCOOLED,,,,,,,,
chiller_economizer,,,FALSE,TRUE,,,,,,,,,
wc_tower_type,,,VARIABLESPEED,SINGLESPEED,,,,,,,,,
wc_pump_eff_hr,,,0,1,,,,,,,,,
wc_pump_head_hr,,ft H2O,10,100,,,,,,,,,
ext_light_w,,W,5000,100000,,,,,,,,,
control_option,,,ASTRONOMICALCLOCK,SCHEDULENAMEONLY,,,,,,,,,
water_heater_fuel,,,NaturalGas,Electricity,DistrictHeating,,,,,,,,
water_heater_eff,,,0,1,,,,,,,,,
pump_eff_dhw,,,0,1,,,,,,,,,
pump_head_dhw,,ft H2O,10,100,,,,,,,,,
dhw_recovery,,,FALSE,TRUE,,,,,,,,,
solar_hot_water,,,TRUE,FALSE,,,,,,,,,
solar_collector_type,,,GLAZED-FLAT-PLATE,TUBULAR,,,,,,,,,
solar_collector_performance,,,LOW,MEDIUM,HIGH,,,,,,,,
solar_collector_fraction_usable_roof_area,,,0,1,,,,,,,,,
rainwater_harvest,,,TRUE,FALSE,,,,,,,,,
graywater_recycling,,,TRUE,FALSE,,,,,,,,,
cooling_coil_condensate,,,TRUE,FALSE,,,,,,,,,
irrigation_system_efficiency,,,0,1,,,,,,,,,
vestibule,,,TRUE,FALSE,,,,,,,,,
